,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
2887,A0141808,INS-000686884,11/02/2023,2023,BA-1284348-2022,BA-1284348,KING MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,12,2,Confiscated,Complete Address,3871,BROADWAY,,,,NEW YORK,NY,10032,Manhattan,112.0,7.0,1063352.0,1021370018.0,MN36,40.83692543,-73.94279598
2918,A0192597,INS-000791226,10/08/2024,2024,BA-1708904-2024,BA-1708904,KABA FOOD MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,14819,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,408.0,24.0,4207421.0,4097040057.0,QN61,40.70617969,-73.80820177
3093,A0211965,INS-000829901,02/14/2025,2025,BA-1283392-2022,BA-1283392,GR 109 GROCERY CORP,pioneer supermarket,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,1,Confiscated,Complete Address,10209,NORTHERN BLVD,,,,CORONA,NY,11368,Queens,403.0,21.0,4042014.0,4016970039.0,QN27,40.75756145,-73.86638455
3106,A0200566,INS-000809105,11/22/2024,2024,BA-1726866-2025,BA-1726866,Good fortune supermarket,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,16,15,1,Confiscated,Complete Address,4276,MAIN ST,,,,FLUSHING,NY,11355,Queens,407.0,20.0,4622994.0,4051247501.0,QN22,40.75313707,-73.82728268
3114,A0155485,INS-000731779,02/23/2024,2024,BA-1314764-2022,BA-1314764,GOLDEN BOYS GROUP INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,4,Confiscated,Complete Address,416,CRESCENT ST,,,,BROOKLYN,NY,11208,Brooklyn,305.0,37.0,3093424.0,3041660018.0,BK83,40.67854477,-73.87079711
3182,A0162109,INS-000731456,04/04/2024,2024,BA-1689185-2024,BA-1689185,FRESH FARM SUPERMARKET CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,11,3,Confiscated,Complete Address,4016,NATIONAL ST,,,,CORONA,NY,11368,Queens,404.0,21.0,4048538.0,4019740012.0,QN26,40.74925728,-73.86294006
3224,A0211106,INS-000828300,02/07/2025,2025,BA-1194361-2022,BA-1194361,FOOD CONNECTION II LTD.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,5,1,Confiscated,Complete Address,7915,ELIOT AVE,,,,MIDDLE VILLAGE,NY,11379,Queens,405.0,30.0,4064629.0,4028500041.0,QN21,40.72484481,-73.87957893
3271,A0137144,INS-000678858,09/27/2023,2023,BA-1201519-2022,BA-1201519,Emporium Supermarket Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,3,Confiscated,Complete Address,148,E 170TH ST,,,,BRONX,NY,10452,Bronx,204.0,16.0,2008086.0,2028420055.0,BX63,40.83905441,-73.91466284
3292,A0159773,INS-000725638,03/22/2024,2024,BA-1219411-2022,BA-1219411,EATALY NY FIDI LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,2,Confiscated,Complete Address,200,5TH AVE,,,,NEW YORK,NY,10010,Manhattan,105.0,3.0,1015583.0,1008250031.0,MN13,40.74186438,-73.98936511
3306,A0217590,INS-000839465,03/21/2025,2025,BA-1184052-2022,BA-1184052,E & M FOOD MARKET CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,1,Confiscated,Complete Address,760,MELROSE AVE,,,,BRONX,NY,10451,Bronx,201.0,17.0,2114124.0,2023780001.0,BX34,40.82143106,-73.91528882
