Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0211891,INS-000829779,02/13/2025,2025,BA-1520427-2022,BA-1520427,"TRIBECA VILLAGE FARM, INC.",MORGAN'S MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,13,HUDSON ST,,,,NEW YORK,NY,10013,Manhattan,101,1,1001511,1001410001,MN24,40.71633553,-74.00919871
A0192595,INS-000791216,10/08/2024,2024,BA-1710994-2024,BA-1710994,"TRIBECA OLIVE BRANCH DELI, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,146,CHAMBERS ST,,,,NEW YORK,NY,10007,Manhattan,101,1,1001497,1001377504,MN24,40.71580299,-74.00988041
A0213785,INS-000832801,02/27/2025,2025,BA-1528678-2022,BA-1528678,TRIBECA FINEST MARKET GROUP CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,393,CANAL ST,,,,NEW YORK,NY,10013,Manhattan,102,1,1002940,1002270007,MN24,40.72151516,-74.00486307
A0152256,INS-000710143,01/30/2024,2024,BA-1681431-2023,BA-1681431,TRIANGLE DELI AND GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1891,FULTON ST,,,,BROOKLYN,NY,11233,Brooklyn,303,41,3337937,3015300019,BK35,40.67883437,-73.92084186
A0159981,INS-000727804,03/25/2024,2024,BA-1689704-2024,BA-1689704,"TRES EMPANADAS NYC, LLC",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,888,8TH AVE,,,,NEW YORK,NY,10019,Manhattan,105,3,1024825,1010240001,MN17,40.76407161,-73.9847914
A0187670,INS-000782196,09/12/2024,2024,BA-1638210-2023,BA-1638210,TRENTON HALAL MEAT INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,7412,37TH RD,,,,JACKSON HTS,NY,11372,Queens,403,25,4029839,4012850071,QN28,40.74725366,-73.89128576
A0127906,INS-000653040,07/11/2023,2023,BA-1638210-2023,BA-1638210,TRENTON HALAL MEAT INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,7412,37TH RD,,,,JACKSON HTS,NY,11372,Queens,403,25,4029839,4012850071,QN28,40.74725366,-73.89128576
A0152154,INS-000709880,01/29/2024,2024,BA-1598264-2023,BA-1598264,TREMONT GOURMET DELI INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,706,E TREMONT AVE,,,,BRONX,NY,10457,Bronx,206,15,2098838,2029500052,BX17,40.84525108,-73.890822
A0198329,INS-000802859,11/01/2024,2024,BA-1707705-2024,BA-1707705,"TREMONT FOOD MARKET, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,920,E TREMONT AVE,,,,BRONX,NY,10460,Bronx,206,15,2010702,2029920043,BX17,40.84174463,-73.88371875
A0196303,INS-000798929,10/29/2024,2024,BA-1554128-2022,BA-1554128,Tremont Corner Store Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3742,E TREMONT AVE,,,,BRONX,NY,10465,Bronx,210,13,2079944,2055430156,BX52,40.82634191,-73.82185337
A0128886,INS-000654677,07/20/2023,2023,BA-1554128-2022,BA-1554128,Tremont Corner Store Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3742,E TREMONT AVE,,,,BRONX,NY,10465,Bronx,210,13,2079944,2055430156,BX52,40.82634191,-73.82185337
A0182268,INS-000771248,08/08/2024,2024,BA-1705241-2024,BA-1705241,TREMONT & ANTHONY DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,267,E TREMONT AVE,,,,BRONX,NY,10457,Bronx,205,15,2007712,2028090037,BX41,40.84878126,-73.90369836
A0130622,INS-000657165,08/08/2023,2023,BA-1558691-2022,BA-1558691,"TRANSFIRIENDO LA VISION, CORP",El Rinconcito Ecatoriano + 99 cents,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1576,GREENE AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3075572,3033030027,BK77,40.7041468,-73.91344697
A0195584,INS-000797449,10/24/2024,2024,BA-1548602-2022,BA-1548602,TR FOOD MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,9500,VAN WYCK EXPY,,,,S RICHMOND HL,NY,11419,Queens,409,29,4200356,4094820015,QN54,40.69610112,-73.81335524
A0159721,INS-000727176,03/21/2024,2024,BA-1554683-2022,BA-1554683,TR DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,942,E GUN HILL RD,,,,BRONX,NY,10469,Bronx,212,12,2057140,2046350037,BX44,40.87519218,-73.85958882
A0140855,INS-000685380,10/26/2023,2023,BA-1526323-2022,BA-1526323,TORTILLERIA OAXACA INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,121,PORT RICHMOND AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5023977,5010220011,SI28,40.63807926,-74.13328253
A0212558,INS-000830917,02/20/2025,2025,BA-1526323-2022,BA-1526323,TORTILLERIA OAXACA INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,121,PORT RICHMOND AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5023977,5010220011,SI28,40.63807926,-74.13328253
