Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0177909,INS-000761570,07/12/2024,2024,BA-1130237-2022,BA-1130237,BAKIR INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,633,MARCY AVE,,,,BROOKLYN,NY,11206,Brooklyn,303,36,3425662,3017710005,BK75,40.69291712,-73.94870727
A0166362,INS-000738800,04/30/2024,2024,BA-1089779-2022,BA-1089779,BATFER FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,256,E 167TH ST,,,,BRONX,NY,10456,Bronx,204,16,2002600,2024490053,BX14,40.83346341,-73.91463387
A0208512,INS-000822260,01/23/2025,2025,BA-1595858-2023,BA-1595858,BAYAN MEAT CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,170,BROAD ST,,,,STATEN ISLAND,NY,10304,Staten Island,501,49,5014175,5005450030,SI37,40.62431658,-74.08044797
A0158777,INS-000725543,03/18/2024,2024,BA-1125576-2022,BA-1125576,BAYFRUIT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1717,AVENUE Z,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3204044,3074380024,BK17,40.58820779,-73.95220089
A0154188,INS-000716332,02/12/2024,2024,BA-1125576-2022,BA-1125576,BAYFRUIT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,17,17,0,,Complete Address,1717,AVENUE Z,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3204044,3074380024,BK17,40.58820779,-73.95220089
A0154188,INS-000716332,02/12/2024,2024,BA-1125576-2022,BA-1125576,BAYFRUIT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,1717,AVENUE Z,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3204044,3074380024,BK17,40.58820779,-73.95220089
A0129090,INS-000655034,07/21/2023,2023,BA-1125381-2022,BA-1125381,BAYPARKWAY FOOD INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,320,KINGS HWY,,,,BROOKLYN,NY,11223,Brooklyn,311,43,3176863,3066510027,BK29,40.60498096,-73.97857215
A0159328,INS-000726482,03/20/2024,2024,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0159328,INS-000726482,03/20/2024,2024,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,2,2,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0159328,INS-000726482,03/20/2024,2024,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0210495,INS-000827228,02/05/2025,2025,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,2,2,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0210495,INS-000827228,02/05/2025,2025,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0210495,INS-000827228,02/05/2025,2025,BA-1123744-2022,BA-1123744,"BAYSIDE MILK FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,3515,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4136526,4061730052,QN46,40.76873863,-73.77363099
A0196670,INS-000799652,10/30/2024,2024,BA-1114461-2022,BA-1114461,BC FOOD & PRODUCE CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,10,0,,Complete Address,191,PARKSIDE AVE,,,,BROOKLYN,NY,11226,Brooklyn,309,40,3114662,3050260304,BK60,40.65516213,-73.96118101
A0158685,INS-000725268,03/15/2024,2024,BA-1127201-2022,BA-1127201,BC FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,200,SCHERMERHORN STREET,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3000541,3001710001,BK38,40.68882148,-73.98567397
A0144211,INS-000690939,11/24/2023,2023,BA-1127201-2022,BA-1127201,BC FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,200,SCHERMERHORN STREET,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3000541,3001710001,BK38,40.68882148,-73.98567397
A0163461,INS-000733778,04/12/2024,2024,BA-1121930-2022,BA-1121930,BEACH CHANNEL MEAT & PRODUCE CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,13,0,,Complete Address,1329,BEACH CHANNEL DR,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4299557,4156610070,QN15,40.6061487,-73.75479957
A0163461,INS-000733778,04/12/2024,2024,BA-1121930-2022,BA-1121930,BEACH CHANNEL MEAT & PRODUCE CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,1329,BEACH CHANNEL DR,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4299557,4156610070,QN15,40.6061487,-73.75479957
A0126834,INS-000651365,07/03/2023,2023,BA-1031403-2022,BA-1031403,BEDFORD BOULEVARD FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,17,17,0,,Complete Address,2870,WEBSTER AVE,,,,BRONX,NY,10458,Bronx,207,15,2000000,2032730122,BX06,40.86713051,-73.88382982
A0190865,INS-000787836,09/27/2024,2024,BA-1009675-2022,BA-1009675,"BERRY FRESH FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,4326,DITMARS BLVD,,,,ASTORIA,NY,11105,Queens,401,22,4595486,4007820001,QN72,40.7712374,-73.90379244
A0190865,INS-000787836,09/27/2024,2024,BA-1009675-2022,BA-1009675,"BERRY FRESH FARM, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,12,0,,Complete Address,4326,DITMARS BLVD,,,,ASTORIA,NY,11105,Queens,401,22,4595486,4007820001,QN72,40.7712374,-73.90379244
A0159396,INS-000726582,03/20/2024,2024,BA-1111905-2022,BA-1111905,BERRY GOODS SUPERMARKET CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,1413,AVENUE J,,,,BROOKLYN,NY,11230,Brooklyn,314,44,3179618,3067070047,BK43,40.62510977,-73.96210269
A0185365,INS-000777844,08/28/2024,2024,BA-1084519-2022,BA-1084519,BEST FOOD CORP OF NY,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,9,4,Confiscated,Complete Address,331,PORT RICHMOND AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5095249,5010380004,SI28,40.63369506,-74.13628577
A0178361,INS-000762710,07/16/2024,2024,BA-1109059-2022,BA-1109059,BEYOND NATURAL MARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,195,MONTROSE AVE,,,,BROOKLYN,NY,11206,Brooklyn,301,34,3426421,3030547504,BK78,40.70754307,-73.94108194
A0133981,INS-000663917,09/01/2023,2023,BA-1002744-2022,BA-1002744,BFF FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,4733,BELL BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4157770,4073460030,QN46,40.7564381,-73.76746802
