NAME,B19013_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
Census Tract 316; Bronx County; New York,78864,674,167,0,220,0,456,325,36,Bronx,031600
Census Tract 318; Bronx County; New York,98017,732,454,113,295,0,341,103,36,Bronx,031800
Census Tract 319; Bronx County; New York,-666666666,450,152,6,45,0,70,39,36,Bronx,031900
Census Tract 323; Bronx County; New York,101512,3298,477,0,184,0,298,554,36,Bronx,032300
Census Tract 324; Bronx County; New York,40955,453,896,0,467,12,612,523,36,Bronx,032400
Census Tract 326; Bronx County; New York,99962,1175,577,30,651,0,728,279,36,Bronx,032600
Census Tract 328; Bronx County; New York,49422,720,1046,58,340,0,1521,371,36,Bronx,032800
Census Tract 330; Bronx County; New York,48750,1746,1455,0,105,0,1042,668,36,Bronx,033000
Census Tract 332.01; Bronx County; New York,35400,1586,474,35,139,0,1638,251,36,Bronx,033201
Census Tract 332.02; Bronx County; New York,47557,489,813,0,307,0,1437,369,36,Bronx,033202
Census Tract 334; Bronx County; New York,-666666666,1,24,0,0,0,1,0,36,Bronx,033400
Census Tract 335; Bronx County; New York,106597,1303,291,15,47,0,215,342,36,Bronx,033500
Census Tract 336.01; Bronx County; New York,23453,344,2211,0,158,0,1482,816,36,Bronx,033601
Census Tract 336.02; Bronx County; New York,47398,146,644,0,0,0,283,82,36,Bronx,033602
Census Tract 337; Bronx County; New York,147543,2200,42,0,305,0,158,147,36,Bronx,033700
Census Tract 338.01; Bronx County; New York,70418,74,832,16,44,0,683,470,36,Bronx,033801
Census Tract 338.02; Bronx County; New York,70508,140,743,0,134,0,760,32,36,Bronx,033802
Census Tract 340; Bronx County; New York,50208,470,1799,49,170,0,2300,549,36,Bronx,034000
Census Tract 342; Bronx County; New York,70910,171,895,0,10,31,218,193,36,Bronx,034200
Census Tract 343; Bronx County; New York,89554,696,107,22,242,0,323,464,36,Bronx,034300
Census Tract 344; Bronx County; New York,71920,332,1051,0,98,0,377,82,36,Bronx,034400
Census Tract 345; Bronx County; New York,115461,1640,463,44,41,0,1187,780,36,Bronx,034500
Census Tract 348; Bronx County; New York,53024,393,3005,49,560,0,1573,618,36,Bronx,034800
Census Tract 350; Bronx County; New York,69293,47,1622,0,114,0,107,133,36,Bronx,035000
Census Tract 351; Bronx County; New York,105086,1661,367,120,142,0,663,770,36,Bronx,035100
Census Tract 356; Bronx County; New York,86014,53,1669,0,22,0,296,34,36,Bronx,035600
Census Tract 358; Bronx County; New York,85296,626,5518,48,24,0,805,474,36,Bronx,035800
Census Tract 359; Bronx County; New York,28955,124,1230,146,0,0,1084,677,36,Bronx,035900
Census Tract 360; Bronx County; New York,83351,332,1572,6,119,0,490,317,36,Bronx,036000
Census Tract 361; Bronx County; New York,26083,644,1866,138,0,0,1334,1111,36,Bronx,036100
Census Tract 363; Bronx County; New York,28259,897,2509,80,6,0,1680,1251,36,Bronx,036300
Census Tract 364; Bronx County; New York,60313,97,1989,0,0,0,172,169,36,Bronx,036400
Census Tract 365.01; Bronx County; New York,54097,259,2988,9,0,0,813,652,36,Bronx,036501
Census Tract 365.02; Bronx County; New York,26886,345,944,31,6,0,426,805,36,Bronx,036502
Census Tract 367; Bronx County; New York,31815,137,1222,0,2,0,672,614,36,Bronx,036700
Census Tract 368; Bronx County; New York,71875,59,1339,158,27,0,496,106,36,Bronx,036800
Census Tract 369.01; Bronx County; New York,16277,216,513,37,0,0,745,299,36,Bronx,036901
Census Tract 369.02; Bronx County; New York,21976,227,1454,67,0,0,407,161,36,Bronx,036902
Census Tract 370; Bronx County; New York,113182,135,1624,0,219,0,181,69,36,Bronx,037000
Census Tract 371; Bronx County; New York,22791,185,1762,0,0,0,1330,671,36,Bronx,037100
Census Tract 372; Bronx County; New York,69972,161,942,92,89,0,579,206,36,Bronx,037200
Census Tract 373; Bronx County; New York,51283,101,3246,21,0,0,753,2390,36,Bronx,037300
Census Tract 374; Bronx County; New York,35884,383,1530,0,85,0,839,870,36,Bronx,037400
Census Tract 375.04; Bronx County; New York,44198,655,1616,162,0,0,658,740,36,Bronx,037504
Census Tract 376; Bronx County; New York,70429,153,787,0,135,0,709,150,36,Bronx,037600
Census Tract 378; Bronx County; New York,65500,203,1743,55,0,0,1086,167,36,Bronx,037800
Census Tract 379; Bronx County; New York,46430,183,4439,44,0,0,968,877,36,Bronx,037900
Census Tract 380; Bronx County; New York,46250,239,2872,0,34,0,779,550,36,Bronx,038000
Census Tract 381; Bronx County; New York,44741,1454,3518,157,135,0,1128,986,36,Bronx,038100
Census Tract 382; Bronx County; New York,85972,166,2283,0,41,0,342,110,36,Bronx,038200
Census Tract 383.01; Bronx County; New York,43900,252,971,0,157,0,2537,750,36,Bronx,038301
Census Tract 383.03; Bronx County; New York,23958,31,1805,37,0,0,1223,525,36,Bronx,038303
Census Tract 383.04; Bronx County; New York,22551,16,1162,0,10,0,697,195,36,Bronx,038304
Census Tract 385; Bronx County; New York,17598,232,2165,229,8,0,2099,841,36,Bronx,038500
Census Tract 386; Bronx County; New York,66161,119,6754,0,75,0,873,452,36,Bronx,038600
Census Tract 387; Bronx County; New York,41088,369,635,118,88,0,2407,108,36,Bronx,038700
